Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
94,Original Sin,"3,54,02,320","1,65,34,221",46.70%,"1,88,68,099",53.30%,2001
95,Jay and Silent Bob Strike Back,"3,37,88,161","3,00,85,147",89%,"37,03,014",11%,2001
96,And Your Mother Too,"3,36,16,692","1,38,39,658",41.20%,"1,97,77,034",58.80%,2001
97,The Musketeer,"3,25,33,802","2,70,73,640",83.20%,"54,60,162",16.80%,2001
98,Double Take,"3,16,03,059","2,98,31,583",94.40%,"17,71,476",5.60%,2001
99,How High,"3,12,83,740","3,11,78,740",99.70%,"1,05,000",0.30%,2001
100,Beauty and the Beast 2000 IMAX Release,"3,10,33,346","2,54,87,190",82.10%,"55,46,156",17.90%,2001
101,Joe Dirt,"3,09,87,695","2,70,87,695",87.40%,"39,00,000",12.60%,2001
102,Hearts in Atlantis,"3,09,19,415","2,41,85,781",78.20%,"67,33,634",21.80%,2001
103,Monsoon Wedding,"3,07,87,356","1,38,85,966",45.10%,"1,69,01,390",54.90%,2001
104,Angel Eyes,"2,97,15,606","2,41,74,218",81.40%,"55,41,388",18.60%,2001
105,The Pledge,"2,94,19,291","1,97,33,089",67.10%,"96,86,202",32.90%,2001
106,Baby Boy,"2,93,81,649","2,87,34,552",97.80%,"6,47,097",2.20%,2001
107,Heist,"2,85,10,652","2,35,10,841",82.50%,"49,99,811",17.50%,2001
108,The Tailor of Panama,"2,80,08,462","1,37,29,742",49%,"1,42,78,720",51%,2001
109,The Brothers,"2,79,58,191","2,74,57,409",98.20%,"5,00,782",1.80%,2001
110,The Last Castle,"2,76,42,707","1,82,44,060",66%,"93,98,647",34%,2001
111,Saving Silverman,"2,60,86,706","1,94,02,030",74.40%,"66,84,676",25.60%,2001
112,Corky Romano,"2,52,72,752","2,39,80,304",94.90%,"12,92,448",5.10%,2001
113,The Shipping News,"2,46,90,441","1,14,34,216",46.30%,"1,32,56,225",53.70%,2001
114,Joe Somebody,"2,45,16,772","2,27,71,646",92.90%,"17,45,126",7.10%,2001
115,Nowhere in Africa,"2,43,22,180","61,80,200",25.40%,"1,81,41,980",74.60%,2001
116,Tanguy,"2,42,72,365",0,0,"2,42,72,365",100%,2001
117,Life as a House,"2,39,03,791","1,56,67,270",65.50%,"82,36,521",34.50%,2001
118,The Glass House,"2,36,19,609","1,81,50,259",76.80%,"54,69,350",23.20%,2001
119,Tomcats,"2,34,30,766","1,35,58,739",57.90%,"98,72,027",42.10%,2001
120,Kingdom Come,"2,33,96,049","2,32,49,649",99.40%,"1,46,400",0.60%,2001
121,Two Can Play That Game,"2,23,91,450","2,22,35,901",99.30%,"1,55,549",0.70%,2001
122,Winged Migration,"2,14,93,351","9,24,651",4.30%,"2,05,68,700",95.70%,2001
123,Amores Perros,"2,09,08,467","54,08,467",25.90%,"1,55,00,000",74.10%,2001
124,Mulholland Drive,"2,01,17,339","72,20,243",35.90%,"1,28,97,096",64.10%,2001
125,Himalaya 2001 Re0release,"1,99,60,881","24,87,878",12.50%,"1,74,73,003",87.50%,2001
126,Crazy/Beautiful,"1,99,37,988","1,69,37,988",85%,"30,00,000",15%,2001
127,Get Over It,"1,99,00,366","1,15,76,464",58.20%,"83,23,902",41.80%,2001
128,Summer Catch,"1,97,72,447","1,97,53,553",99.90%,"18,894",<0.1%,2001
129,Shackleton's Antarctic Adventure,"1,96,13,216","1,55,53,324",79.30%,"40,59,892",20.70%,2001
130,Rock Star,"1,93,34,145","1,70,08,282",88%,"23,25,863",12%,2001
131,O,"1,92,60,537","1,60,25,437",83.20%,"32,35,100",16.80%,2001
132,The Man Who Wasn't There,"1,89,16,623","75,04,257",39.70%,"1,14,12,366",60.30%,2001
133,The Curse of the Jade Scorpion,"1,89,14,307","75,17,191",39.70%,"1,13,97,116",60.30%,2001
134,3000 Miles to Graceland,"1,87,20,175","1,57,49,959",84.10%,"29,70,216",15.90%,2001
135,Max Keeble's Big Move,"1,86,34,654","1,72,94,293",92.80%,"13,40,361",7.20%,2001
136,"Godzilla, Mothra and King Ghidorah: Giant Monsters All0Out Attack","1,86,23,382",0,0,"1,86,23,382",100%,2001
137,Antitrust,"1,81,95,610","1,13,28,094",62.30%,"68,67,516",37.70%,2001
138,Jason X,"1,69,51,798","1,31,21,555",77.40%,"38,30,243",22.60%,2001
139,Sugar & Spice,"1,69,08,947","1,33,05,101",78.70%,"36,03,846",21.30%,2001
140,Just Visiting,"1,61,76,732","47,81,539",29.60%,"1,13,95,193",70.40%,2001
141,Iris,"1,61,53,953","55,94,617",34.60%,"1,05,59,336",65.40%,2001
142,Lantana,"1,57,47,450","46,23,189",29.40%,"1,11,24,261",70.60%,2001
143,Enigma 2001 Re0release,"1,57,05,007","43,01,582",27.40%,"1,14,03,425",72.60%,2001
144,With a Friend Like Harry...,"1,54,72,186","38,30,441",24.80%,"1,16,41,745",75.20%,2001
145,Brother,"1,52,50,594","4,50,594",3%,"1,48,00,000",97%,2001
146,Josie and the Pussycats,"1,48,66,015","1,42,71,015",96%,"5,95,000",4%,2001
147,Out Cold,"1,47,82,676","1,39,06,394",94.10%,"8,76,282",5.90%,2001
148,Iron Monkey,"1,46,94,904","1,46,94,904",100%,0,0,2001
149,Together,"1,45,72,229","10,34,829",7.10%,"1,35,37,400",92.90%,2001
150,Freddy Got Fingered,"1,43,33,252","1,42,54,993",99.50%,"78,259",0.50%,2001
151,Osmosis Jones,"1,40,26,418","1,35,96,911",96.90%,"4,29,507",3.10%,2001
152,Ghosts of Mars,"1,40,10,832","87,09,640",62.20%,"53,01,192",37.80%,2001
153,American Outlaws,"1,36,78,913","1,33,42,790",97.50%,"3,36,123",2.50%,2001
154,One Night at McCool's,"1,34,73,370","62,90,673",46.70%,"71,82,697",53.30%,2001
155,Vidocq,"1,32,40,767",0,0,"1,32,40,767",100%,2001
156,Head Over Heels,"1,31,27,022","1,04,24,470",79.40%,"27,02,552",20.60%,2001
157,Formula 51,"1,28,81,605","52,04,007",40.40%,"76,77,598",59.60%,2001
158,The Girl from Paris,"1,28,12,396","1,83,266",1.40%,"1,26,29,130",98.60%,2001
159,Apocalypse Now Redux,"1,25,43,269","46,26,290",36.90%,"79,16,979",63.10%,2001
160,Say It Isn't So,"1,23,20,393","55,20,393",44.80%,"68,00,000",55.20%,2001
161,The Son's Room,"1,17,67,402","10,16,340",8.60%,"1,07,51,062",91.40%,2001
162,Les rois mages,"1,17,02,020",0,0,"1,17,02,020",100%,2001
163,The Experiment,"1,14,55,141",0,0,"1,14,55,141",100%,2001
164,Kabhi Khushi Kabhie Gham...,"1,13,29,690","29,02,000",25.60%,"84,27,690",74.40%,2001
165,The Little Polar Bear,"1,12,43,547",0,0,"1,12,43,547",100%,2001
166,Inuyasha the Movie: Affections Touching Across Time,"1,05,39,779",0,0,"1,05,39,779",100%,2001
167,Town & Country,"1,03,72,291","67,19,973",64.80%,"36,52,318",35.20%,2001
168,Wasabi,"1,03,66,360","97,220",0.90%,"1,02,69,140",99.10%,2001
169,The Wash,"1,02,29,331","1,00,97,538",98.70%,"1,31,793",1.30%,2001
170,Sexy Beast,"1,00,45,677","69,46,056",69.10%,"30,99,621",30.90%,2001
171,Girls on Top,"1,00,38,662",0,0,"1,00,38,662",100%,2001
172,The Deep End,"1,00,31,529","88,23,109",88%,"12,08,420",12%,2001
173,Mad Love,"93,06,362","2,80,046",3%,"90,26,316",97%,2001
174,Kandahar,"89,14,751","14,18,314",15.90%,"74,96,437",84.10%,2001
175,Son of the Bride,"87,72,695","6,24,757",7.10%,"81,47,938",92.90%,2001
176,Ghost World,"87,64,007","62,17,849",70.90%,"25,46,158",29.10%,2001
177,The Forsaken,"87,04,851","72,88,451",83.70%,"14,16,400",16.30%,2001
178,Tini: The New Life of Violetta,"86,78,476",0,0,"86,78,476",100%,2001
179,The Prince and the Pirate,"85,79,972",0,0,"85,79,972",100%,2001
180,Bones,"83,78,853","73,16,658",87.30%,"10,62,195",12.70%,2001
181,Merry Christmas,"82,28,560",0,0,"82,28,560",100%,2001
182,The Hole,"76,44,361",0,0,"76,44,361",100%,2001
183,Sex and Lucía,"76,40,680","15,94,779",20.90%,"60,45,901",79.10%,2001
184,Monkeybone,"76,22,365","54,11,999",71%,"22,10,366",29%,2001
185,Mean Machine,"73,10,206","92,770",1.30%,"72,17,436",98.70%,2001
186,The Slurb,"68,54,681",0,0,"68,54,681",100%,2001
187,China: The Panda Adventure,"67,84,985","39,21,642",57.80%,"28,63,343",42.20%,2001
188,The Road Home,"67,80,490","12,80,490",18.90%,"55,00,000",81.10%,2001
189,The Piano Teacher,"67,49,315","10,12,069",15%,"57,37,246",85%,2001
190,Under the Sand,"65,31,687","14,52,698",22.20%,"50,78,989",77.80%,2001
191,The Devil's Backbone,"64,59,020","7,55,249",11.70%,"57,03,771",88.30%,2001
192,Megiddo: The Omega Code 2,"60,47,691","60,47,691",100%,0,0,2001
193,Chaos,"60,42,938",0,0,"60,42,938",100%,2001
194,Tom Thumb,"58,67,304",0,0,"58,67,304",100%,2001
195,The Golden Bowl,"57,53,678","30,50,532",53%,"27,03,146",47%,2001
196,A Fish Tale,"55,95,327","5,63,911",10.10%,"50,31,416",89.90%,2001
197,Made,"54,80,653","53,13,300",96.90%,"1,67,353",3.10%,2001
198,Read My Lips,"53,93,526","14,71,911",27.30%,"39,21,615",72.70%,2001
199,Charlotte Gray,"53,23,109","7,41,394",13.90%,"45,81,715",86.10%,2001
0,The Lord of the Rings: The Two Towers,"92,30,15,234","33,97,89,881",36.80%,"58,32,25,353",63.20%,2002
1,Harry Potter and the Chamber of Secrets,"87,89,79,634","26,19,88,482",29.80%,"61,69,91,152",70.20%,2002
2,Spider0Man,"82,17,08,551","40,37,06,375",49.10%,"41,80,02,176",50.90%,2002
3,Star Wars: Episode II 0 Attack of the Clones,"64,52,56,452","30,21,91,252",46.80%,"34,30,65,200",53.20%,2002
4,Men in Black II,"44,18,18,803","19,04,18,803",43.10%,"25,14,00,000",56.90%,2002
5,Die Another Day,"43,19,71,116","16,09,42,139",37.30%,"27,10,28,977",62.70%,2002
6,Signs,"40,82,47,917","22,79,66,634",55.80%,"18,02,81,283",44.20%,2002
7,Ice Age,"38,32,57,136","17,63,87,405",46%,"20,68,69,731",54%,2002
8,My Big Fat Greek Wedding,"36,87,44,044","24,14,38,208",65.50%,"12,73,05,836",34.50%,2002
9,Minority Report,"35,83,72,926","13,20,72,926",36.90%,"22,63,00,000",63.10%,2002
10,Catch Me If You Can,"35,21,14,312","16,46,15,351",46.80%,"18,74,98,961",53.20%,2002
11,Chicago,"30,67,76,732","17,06,87,518",55.60%,"13,60,89,214",44.40%,2002
12,Austin Powers in Goldmember,"29,69,38,801","21,33,07,889",71.80%,"8,36,30,912",28.20%,2002
13,xXx,"27,74,48,382","14,21,09,382",51.20%,"13,53,39,000",48.80%,2002
14,Scooby0Doo,"27,56,50,703","15,32,94,164",55.60%,"12,23,56,539",44.40%,2002
15,Lilo & Stitch,"27,31,44,151","14,57,94,338",53.40%,"12,73,49,813",46.60%,2002
16,The Ring,"24,93,48,933","12,91,28,133",51.80%,"12,02,20,800",48.20%,2002
17,8 Mile,"24,28,75,078","11,67,50,901",48.10%,"12,61,24,177",51.90%,2002
18,The Bourne Identity,"21,40,34,224","12,16,61,683",56.80%,"9,23,72,541",43.20%,2002
19,Red Dragon,"20,91,96,298","9,31,49,898",44.50%,"11,60,46,400",55.50%,2002
20,Two Weeks Notice,"19,90,43,242","9,33,54,851",46.90%,"10,56,88,391",53.10%,2002
21,Panic Room,"19,63,97,415","9,63,97,334",49.10%,"10,00,00,081",50.90%,2002
22,The Sum of All Fears,"19,39,21,372","11,89,07,036",61.30%,"7,50,14,336",38.70%,2002
23,Gangs of New York,"19,37,72,504","7,78,12,000",40.20%,"11,59,60,504",59.80%,2002
24,Road to Perdition,"18,10,01,478","10,44,54,762",57.70%,"7,65,46,716",42.30%,2002
25,Sweet Home Alabama,"18,06,22,424","12,72,23,418",70.40%,"5,33,99,006",29.60%,2002
26,The Scorpion King,"17,87,99,308","9,10,47,077",50.90%,"8,77,52,231",49.10%,2002
27,Hero,"17,73,95,557","5,37,10,019",30.30%,"12,36,85,538",69.70%,2002
28,The Santa Clause 2,"17,28,55,065","13,92,36,327",80.60%,"3,36,18,738",19.40%,2002
29,Mr. Deeds,"17,12,69,535","12,62,93,452",73.70%,"4,49,76,083",26.30%,2002
30,Stuart Little 2,"16,99,56,806","6,49,56,806",38.20%,"10,50,00,000",61.80%,2002
31,Blade II,"15,50,10,032","8,23,48,319",53.10%,"7,26,61,713",46.90%,2002
32,Maid in Manhattan,"15,49,06,693","9,40,11,225",60.70%,"6,08,95,468",39.30%,2002
33,About a Boy,"13,05,49,455","4,13,85,278",31.70%,"8,91,64,177",68.30%,2002
34,Space Station 3D,"12,83,63,881","9,33,83,953",72.70%,"3,49,79,928",27.30%,2002
35,The Time Machine,"12,37,29,176","5,68,32,494",45.90%,"6,68,96,682",54.10%,2002
36,Spirit: Stallion of the Cimarron,"12,25,63,539","7,32,80,117",59.80%,"4,92,83,422",40.20%,2002
37,The Pianist,"12,00,72,577","3,25,72,577",27.10%,"8,75,00,000",72.90%,2002
38,Spy Kids 2: Island of Lost Dreams,"11,97,23,358","8,58,46,429",71.70%,"3,38,76,929",28.30%,2002
39,Unfaithful,"11,91,37,784","5,27,75,765",44.30%,"6,63,62,019",55.70%,2002
40,Snow Dogs,"11,50,35,090","8,11,72,560",70.60%,"3,38,62,530",29.40%,2002
41,We Were Soldiers,"11,46,60,784","7,81,22,718",68.10%,"3,65,38,066",31.90%,2002
42,Insomnia,"11,37,14,830","6,73,55,513",59.20%,"4,63,59,317",40.80%,2002
43,Return to Never Land,"10,98,62,682","4,84,30,258",44.10%,"6,14,32,424",55.90%,2002
44,Treasure Planet,"10,95,78,115","3,81,76,783",34.80%,"7,14,01,332",65.20%,2002
45,The Hours,"10,88,46,072","4,16,75,994",38.30%,"6,71,70,078",61.70%,2002
46,Asterix & Obelix: Mission Cleopatra,"10,80,12,365",0,0,"10,80,12,365",100%,2002
47,About Schmidt,"10,58,34,556","6,50,16,287",61.40%,"4,08,18,269",38.60%,2002
48,The Tuxedo,"10,43,91,623","5,05,47,998",48.40%,"5,38,43,625",51.60%,2002
49,Resident Evil,"10,29,84,862","4,01,19,709",39%,"6,28,65,153",61%,2002
50,John Q,"10,22,44,770","7,17,56,802",70.20%,"3,04,87,968",29.80%,2002
51,40 Days and 40 Nights,"9,51,46,283","3,79,50,822",39.90%,"5,71,95,461",60.10%,2002
52,Changing Lanes,"9,49,35,764","6,68,18,548",70.40%,"2,81,17,216",29.60%,2002
53,28 Days Later,"8,27,19,885","4,50,64,915",54.50%,"3,76,54,970",45.50%,2002
54,Reign of Fire,"8,21,50,183","4,30,61,982",52.40%,"3,90,88,201",47.60%,2002
55,The Rookie,"8,06,93,537","7,56,00,072",93.70%,"50,93,465",6.30%,2002
56,Jackass: The Movie,"7,94,93,831","6,42,55,312",80.80%,"1,52,38,519",19.20%,2002
57,Collateral Damage,"7,83,82,433","4,00,77,257",51.10%,"3,83,05,176",48.90%,2002
58,Showtime,"7,77,41,732","3,80,82,712",49%,"3,96,59,020",51%,2002
59,Windtalkers,"7,76,28,265","4,09,14,068",52.70%,"3,67,14,197",47.30%,2002
60,Barbershop,"7,70,63,924","7,57,82,105",98.30%,"12,81,819",1.70%,2002
61,Bend It Like Beckham,"7,65,83,333","3,25,43,449",42.50%,"4,40,39,884",57.50%,2002
62,The Count of Monte Cristo,"7,53,95,048","5,42,34,062",71.90%,"2,11,60,986",28.10%,2002
63,Divine Secrets of the Ya0Ya Sisterhood,"7,38,39,240","6,95,99,016",94.30%,"42,40,224",5.70%,2002
64,E.T. the Extra0Terrestrial 20th Anniversary,"6,91,77,751","3,53,06,015",51%,"3,38,71,736",49%,2002
65,The Sweetest Thing,"6,86,96,770","2,47,18,164",36%,"4,39,78,606",64%,2002
66,Ghost Ship,"6,83,49,884","3,01,13,491",44.10%,"3,82,36,393",55.90%,2002
67,Star Trek: Nemesis,"6,73,36,470","4,32,54,409",64.20%,"2,40,82,061",35.80%,2002
68,Bad Company,"6,59,77,295","3,01,60,161",45.70%,"3,58,17,134",54.30%,2002
69,K019: The Widowmaker,"6,57,16,126","3,51,68,966",53.50%,"3,05,47,160",46.50%,2002
70,High Crimes,"6,37,81,810","4,15,43,917",65.10%,"2,22,37,893",34.90%,2002
71,Like Mike,"6,22,74,780","5,14,32,760",82.60%,"1,08,42,020",17.40%,2002
72,Crossroads,"6,11,41,030","3,71,91,304",60.80%,"2,39,49,726",39.20%,2002
73,The Wild Thornberrys,"6,06,94,737","4,01,08,697",66.10%,"2,05,86,040",33.90%,2002
74,Bowling for Columbine,"5,80,08,423","2,15,76,018",37.20%,"3,64,32,405",62.80%,2002
75,Drumline,"5,75,88,485","5,63,99,184",97.90%,"11,89,301",2.10%,2002
76,Murder by Numbers,"5,67,14,147","3,19,45,749",56.30%,"2,47,68,398",43.70%,2002
77,Frida,"5,62,98,474","2,58,85,000",46%,"3,04,13,474",54%,2002
78,The Mothman Prophecies,"5,51,57,539","3,57,46,370",64.80%,"1,94,11,169",35.20%,2002
79,Analyze That,"5,50,03,135","3,21,30,627",58.40%,"2,28,72,508",41.60%,2002
80,The Hot Chick,"5,46,39,553","3,50,81,594",64.20%,"1,95,57,959",35.80%,2002
81,The Cat Returns,"5,34,52,680",0,0,"5,34,52,652",100%,2002
82,Big Fat Liar,"5,29,70,014","4,83,60,547",91.30%,"46,09,467",8.70%,2002
83,Dragonfly,"5,23,23,400","3,03,23,400",58%,"2,20,00,000",42%,2002
84,One Hour Photo,"5,22,23,306","3,15,97,131",60.50%,"2,06,26,175",39.50%,2002
85,Blue Crush,"5,18,43,679","4,03,90,647",77.90%,"1,14,53,032",22.10%,2002
86,Enough,"5,18,06,184","4,00,07,742",77.20%,"1,17,98,442",22.80%,2002
87,I Spy,"5,13,86,477","3,35,61,137",65.30%,"1,78,25,340",34.70%,2002
88,Talk to Her 2002 Re0release,"5,10,01,550","92,85,469",18.20%,"4,17,16,081",81.80%,2002
89,A Walk to Remember,"4,74,94,916","4,12,81,092",86.90%,"62,13,824",13.10%,2002
90,Eight Legged Freaks,"4,58,67,333","1,73,22,606",37.80%,"2,85,44,727",62.20%,2002
91,Queen of the Damned,"4,54,79,110","3,03,36,800",66.70%,"1,51,42,310",33.30%,2002
92,The Transporter,"4,39,28,932","2,52,96,447",57.60%,"1,86,32,485",42.40%,2002
93,The Master of Disguise,"4,34,11,001","4,03,88,794",93%,"30,22,207",7%,2002
94,Orange County,"4,33,25,009","4,10,76,018",94.80%,"22,48,991",5.20%,2002
95,8 Women,"4,24,26,583","30,98,776",7.30%,"3,93,27,807",92.70%,2002
96,Undercover Brother,"4,16,04,473","3,90,89,928",94%,"25,14,545",6%,2002
97,Pinocchio,"4,13,14,585","36,75,719",8.90%,"3,76,38,866",91.10%,2002
98,Clockstoppers,"3,87,93,283","3,69,89,956",95.40%,"18,03,327",4.60%,2002
99,Van Wilder,"3,82,75,483","2,13,05,259",55.70%,"1,69,70,224",44.30%,2002
100,The Banger Sisters,"3,80,68,353","3,03,07,416",79.60%,"77,60,937",20.40%,2002
101,Halloween: Resurrection,"3,76,64,855","3,03,54,442",80.60%,"73,10,413",19.40%,2002
102,Swimfan,"3,44,11,240","2,85,64,995",83%,"58,46,245",17%,2002
103,Darkness,"3,39,88,736","2,21,63,442",65.20%,"1,18,25,294",34.80%,2002
104,Friday After Next,"3,35,26,835","3,32,53,609",99.20%,"2,73,226",0.80%,2002
105,The Crocodile Hunter: Collision Course,"3,30,82,548","2,84,42,574",86%,"46,39,974",14%,2002
106,Confessions of a Dangerous Mind,"3,30,13,805","1,60,07,718",48.50%,"1,70,06,087",51.50%,2002
107,Adaptation.,"3,28,01,173","2,24,98,520",68.60%,"1,03,02,653",31.40%,2002
108,Hart's War,"3,22,87,044","1,90,77,641",59.10%,"1,32,09,403",40.90%,2002
109,Blood Work,"3,17,94,718","2,62,35,081",82.50%,"55,59,637",17.50%,2002
110,The New Guy,"3,11,67,388","2,97,60,152",95.50%,"14,07,236",4.50%,2002
111,City of God,"3,06,41,770","75,64,459",24.70%,"2,30,77,311",75.30%,2002
112,Solaris,"3,00,02,758","1,49,73,382",49.90%,"1,50,29,376",50.10%,2002
113,The Four Feathers,"2,98,82,645","1,83,06,166",61.30%,"1,15,76,479",38.70%,2002
114,City by the Sea,"2,94,14,087","2,24,49,000",76.30%,"69,65,087",23.70%,2002
115,Christmas on the Nile,"2,93,20,869",0,0,"2,93,20,869",100%,2002
116,Far from Heaven,"2,90,27,914","1,59,01,849",54.80%,"1,31,26,065",45.20%,2002
117,Family Honor,"2,89,03,789",0,0,"2,89,03,789",100%,2002
118,Brown Sugar,"2,83,16,451","2,73,63,891",96.60%,"9,52,560",3.40%,2002
119,The Spanish Apartment,"2,81,93,749","10,67,438",3.80%,"2,71,26,311",96.20%,2002
120,Pokemon 4Ever: Celebi 0 Voice of the Forest,"2,80,23,563","17,27,447",6.20%,"2,62,96,116",93.80%,2002
121,The Quiet American,"2,76,74,124","1,29,88,801",46.90%,"1,46,85,323",53.10%,2002
122,The Crime of Padre Amaro,"2,69,96,738","57,17,044",21.20%,"2,12,79,694",78.80%,2002
123,All About the Benjamins,"2,63,06,533","2,59,16,319",98.50%,"3,90,214",1.50%,2002
124,Rollerball,"2,58,52,764","1,89,90,798",73.50%,"68,61,966",26.50%,2002
125,Jonah: A VeggieTales Movie,"2,56,15,231","2,55,81,229",99.90%,"34,002",0.10%,2002
126,The Way Home,"2,49,52,738","4,45,367",1.80%,"2,45,07,371",98.20%,2002
127,Punch0Drunk Love,"2,46,65,649","1,78,44,216",72.30%,"68,21,433",27.70%,2002
128,The Guru,"2,41,28,852","30,95,506",12.80%,"2,10,33,346",87.20%,2002
129,Dark Water,"2,40,10,000",0,0,"2,40,10,000",100%,2002
130,25th Hour,"2,39,28,503","1,30,84,595",54.70%,"1,08,43,908",45.30%,2002
131,Sex Is Zero,"2,39,15,279",0,0,"2,39,15,279",100%,2002
132,Eight Crazy Nights,"2,38,33,131","2,35,86,598",99%,"2,46,533",1%,2002
133,Detective Conan: The Phantom of Baker Street,"2,37,86,606",0,0,"2,37,86,606",100%,2002
134,Antwone Fisher,"2,33,67,586","2,10,78,145",90.20%,"22,89,441",9.80%,2002
135,Ali G Indahouse,"2,32,80,529",0,0,"2,32,80,529",100%,2002
136,Super Troopers,"2,31,82,223","1,84,92,362",79.80%,"46,89,861",20.20%,2002
137,"The Legend of Al, John and Jack","2,30,39,985",0,0,"2,30,39,985",100%,2002
138,Phone,"2,17,84,403",0,0,"2,17,84,403",100%,2002
139,White Oleander,"2,16,72,284","1,63,57,770",75.50%,"53,14,514",24.50%,2002
140,Pokémon Heroes,"2,08,67,919","7,46,381",3.60%,"2,01,21,538",96.40%,2002
141,Serving Sara,"2,01,46,150","1,69,30,185",84%,"32,15,965",16%,2002
142,Asterix & Obelix: Mission Cleopatra 2002 Re0release,"2,00,15,611","31,15,188",15.60%,"1,69,00,423",84.40%,2002
143,Ballistic: Ecks vs. Sever,"1,99,24,033","1,43,07,963",71.80%,"56,16,070",28.20%,2002
144,S1m0ne,"1,95,76,023","96,88,676",49.50%,"98,87,347",50.50%,2002
145,The Lion King 2002 IMAX Release,"1,94,86,215","1,56,86,215",80.50%,"38,00,000",19.50%,2002
146,Tuck Everlasting,"1,93,44,615","1,91,61,999",99.10%,"1,82,616",0.90%,2002
147,Half Past Dead,"1,92,33,280","1,55,67,860",80.90%,"36,65,420",19.10%,2002
148,Martin Lawrence Live: Runteldat,"1,91,84,820","1,91,84,820",100%,0,0,2002
149,Feardotcom,"1,89,02,015","1,32,58,249",70.10%,"56,43,766",29.90%,2002
150,Empire,"1,85,91,272","1,76,00,423",94.70%,"9,90,849",5.30%,2002
151,The Country Bears,"1,80,12,097","1,69,90,825",94.30%,"10,21,272",5.70%,2002
152,Jail Breakers,"1,77,97,711",0,0,"1,77,97,711",100%,2002
153,The Last Kiss,"1,77,20,347","10,48,950",5.90%,"1,66,71,397",94.10%,2002
154,Frailty,"1,74,23,030","1,31,10,448",75.20%,"43,12,582",24.80%,2002
155,The Importance of Being Earnest,"1,72,90,970","83,84,929",48.50%,"89,06,041",51.50%,2002
156,Kung Pow: Enter the Fist,"1,69,94,625","1,60,37,962",94.40%,"9,56,663",5.60%,2002
157,Dead Weight,"1,69,87,957",0,0,"1,69,87,957",100%,2002
158,Life or Something Like It,"1,68,72,671","1,44,48,589",85.60%,"24,24,082",14.40%,2002
159,The Good Girl,"1,68,56,124","1,40,18,296",83.20%,"28,37,828",16.80%,2002
160,Femme Fatale,"1,68,38,910","66,30,252",39.40%,"1,02,08,658",60.60%,2002
161,They,"1,64,46,271","1,28,40,842",78.10%,"36,05,429",21.90%,2002
162,The Powerpuff Girls Movie,"1,64,26,471","1,14,12,414",69.50%,"50,14,057",30.50%,2002
163,The Magdalene Sisters,"1,63,73,112","3,06,989",1.90%,"1,60,66,123",98.10%,2002
164,The Emperor's Club,"1,63,18,449","1,41,18,751",86.50%,"21,99,698",13.50%,2002
165,Rabbit0Proof Fence,"1,62,17,411","61,99,600",38.20%,"1,00,17,811",61.80%,2002
166,Birthday Girl,"1,61,71,098","51,42,576",31.80%,"1,10,28,522",68.20%,2002
167,To Be and to Have,"1,60,63,920","7,77,129",4.80%,"1,52,86,791",95.20%,2002
168,Doraemon: Nobita and the Robot Kingdom,"1,60,53,687",0,0,"1,60,53,687",100%,2002
169,Public Enemy,"1,58,97,574",0,0,"1,58,97,574",100%,2002
170,Hey Arnold! The Movie,"1,52,49,308","1,37,28,902",90%,"15,20,406",10%,2002
171,Boat Trip,"1,50,20,293","86,00,126",57.30%,"64,20,167",42.70%,2002
172,Undisputed,"1,49,46,150","1,27,64,657",85.40%,"21,81,493",14.60%,2002
173,Possession,"1,48,15,898","1,01,13,733",68.30%,"47,02,165",31.70%,2002
174,Hollywood Ending,"1,45,69,744","48,50,753",33.30%,"97,18,991",66.70%,2002
175,Stealing Harvard,"1,42,77,032","1,40,36,406",98.30%,"2,40,626",1.70%,2002
176,Godzilla Against Mechagodzilla,"1,41,22,958",0,0,"1,41,22,958",100%,2002
177,Wet Dreams,"1,39,36,317",0,0,"1,39,36,317",100%,2002
178,Dirty Pretty Things,"1,39,04,766","81,12,414",58.30%,"57,92,352",41.70%,2002
179,Juwanna Mann,"1,38,02,599","1,36,70,733",99%,"1,31,866",1%,2002
180,Trapped,"1,34,14,416","70,73,251",52.70%,"63,41,165",47.30%,2002
181,Toei Spring Anime Fair,"1,31,07,237",0,0,"1,31,07,237",100%,2002
182,Long Time Dead,"1,31,02,295",0,0,"1,31,02,295",100%,2002
