Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
172,The Tao of Steve,"44,06,030","43,42,203",98.60%,"63,827",1.40%,2000
173,Mohabbatein,"42,79,351","10,70,000",25%,"32,09,351",75%,2000
174,East Is East,"41,77,818","41,77,818",100%,0,0,2000
175,Bossa Nova,"40,69,261","18,23,297",44.80%,"22,45,964",55.20%,2000
176,Erkan & Stefan,"40,26,949",0,0,"40,26,949",100%,2000
177,Pettson & Findus 0 Katten och gubbens år,"39,20,489",0,0,"39,20,489",100%,2000
178,Up at the Villa,"37,40,113","29,33,161",78.40%,"8,06,952",21.60%,2000
179,The Big Kahuna,"37,28,888","31,65,544",84.90%,"5,63,344",15.10%,2000
180,Price of Glory,"35,48,556","34,40,228",96.90%,"1,08,328",3.10%,2000
181,Gun Shy,"32,21,280","16,38,202",50.90%,"15,83,078",49.10%,2000
182,Beautiful,"31,69,930","31,57,348",99.60%,"12,582",0.40%,2000
183,Isn't She Great,"30,03,296","29,62,465",98.60%,"40,831",1.40%,2000
184,No More School,"28,70,533",0,0,"28,70,533",100%,2000
185,Flickering Lights,"27,60,019",0,0,"27,60,019",100%,2000
186,The Color of Paradise,"27,24,595","18,17,216",66.70%,"9,07,379",33.30%,2000
187,God's Army,"26,37,726","26,37,726",100%,0,0,2000
188,But I'm a Cheerleader,"25,95,216","22,05,627",85%,"3,89,589",15%,2000
189,Bamboozled,"24,63,650","22,74,979",92.30%,"1,88,671",7.70%,2000
190,East/West,"23,21,029","23,21,029",100%,0,0,2000
191,Shower,"21,50,929","11,57,764",53.80%,"9,93,165",46.20%,2000
192,Left Luggage,"21,11,280","10,69,540",50.70%,"10,41,740",49.30%,2000
193,Blood Simple 2000 Re0release,"20,68,701","17,01,855",82.30%,"3,66,846",17.70%,2000
194,Marlene,"20,61,924",0,0,"20,61,924",100%,2000
195,Hamlet,"20,46,433","15,77,287",77.10%,"4,69,146",22.90%,2000
196,The Broken Hearts Club: A Romantic Comedy,"20,19,121","17,46,585",86.50%,"2,72,536",13.50%,2000
197,Cecil B. Demented,"19,61,544","12,84,646",65.50%,"6,76,898",34.50%,2000
198,The Life and Times of Hank Greenberg,"17,12,385","17,12,385",100%,0,0,2000
199,The Girl on the Bridge,"17,08,839","17,08,839",100%,0,0,2000
0,Harry Potter and the Sorcerer's Stone,"97,47,55,371","31,75,75,550",32.60%,"65,71,79,821",67.40%,2001
1,The Lord of the Rings: The Fellowship of the Ring,"86,83,85,360","31,33,64,114",36.10%,"55,50,21,246",63.90%,2001
2,"Monsters, Inc.","52,87,73,250","25,58,73,250",48.40%,"27,29,00,000",51.60%,2001
3,Shrek,"48,45,96,038","26,78,51,831",55.30%,"21,67,44,207",44.70%,2001
4,Ocean's Eleven,"45,07,17,150","18,34,17,150",40.70%,"26,73,00,000",59.30%,2001
5,Pearl Harbor,"44,92,20,945","19,85,42,554",44.20%,"25,06,78,391",55.80%,2001
6,The Mummy Returns,"43,30,13,274","20,20,19,785",46.70%,"23,09,93,489",53.30%,2001
7,Jurassic Park III,"36,87,80,809","18,11,71,875",49.10%,"18,76,08,934",50.90%,2001
8,Planet of the Apes,"36,22,11,740","18,00,11,740",49.70%,"18,22,00,000",50.30%,2001
9,Hannibal,"35,16,92,268","16,50,92,268",46.90%,"18,66,00,000",53.10%,2001
10,Rush Hour 2,"34,73,25,802","22,61,64,286",65.10%,"12,11,61,516",34.90%,2001
11,A Beautiful Mind,"31,35,42,341","17,07,42,341",54.50%,"14,28,00,000",45.50%,2001
12,American Pie 2,"28,75,53,595","14,51,03,595",50.50%,"14,24,50,000",49.50%,2001
13,Bridget Jones's Diary,"28,19,29,795","7,15,43,427",25.40%,"21,03,86,368",74.60%,2001
14,Spirited Away,"27,49,25,095","1,00,55,859",3.70%,"26,48,69,236",96.30%,2001
15,Lara Croft: Tomb Raider,"27,47,03,340","13,11,68,070",47.70%,"14,35,35,270",52.30%,2001
16,A.I. Artificial Intelligence,"23,59,26,552","7,86,16,689",33.30%,"15,73,09,863",66.70%,2001
17,The Others,"20,99,47,037","9,65,22,687",46%,"11,34,24,350",54%,2001
18,The Fast and the Furious,"20,72,83,925","14,45,33,925",69.70%,"6,27,50,000",30.30%,2001
19,Vanilla Sky,"20,33,88,341","10,06,18,344",49.50%,"10,27,69,997",50.50%,2001
20,Cats & Dogs,"20,06,87,492","9,33,85,515",46.50%,"10,73,01,977",53.50%,2001
21,Atlantis: The Lost Empire,"18,60,53,725","8,40,56,472",45.20%,"10,19,97,253",54.80%,2001
22,Moulin Rouge!,"17,92,13,434","5,73,86,607",32%,"12,18,26,827",68%,2001
23,Dr. Dolittle 2,"17,61,04,344","11,29,52,899",64.10%,"6,31,51,445",35.90%,2001
24,Amélie,"17,39,21,954","3,32,25,499",19.10%,"14,06,96,455",80.90%,2001
25,Black Hawk Down,"17,29,89,651","10,86,38,745",62.80%,"6,43,50,906",37.20%,2001
26,The Princess Diaries,"16,53,35,153","10,82,48,956",65.50%,"5,70,86,197",34.50%,2001
27,Spy Kids,"14,79,34,180","11,27,19,001",76.20%,"3,52,15,179",23.80%,2001
28,The Mexican,"14,78,45,033","6,68,45,033",45.20%,"8,10,00,000",54.80%,2001
29,Swordfish,"14,70,80,413","6,97,72,969",47.40%,"7,73,07,444",52.60%,2001
30,Spy Game,"14,30,49,560","6,23,62,560",43.60%,"8,06,87,000",56.40%,2001
31,Legally Blonde,"14,17,74,679","9,65,20,674",68.10%,"4,52,54,005",31.90%,2001
32,Scary Movie 2,"14,12,20,678","7,13,08,997",50.50%,"6,99,11,681",49.50%,2001
33,Shallow Hal,"14,10,69,860","7,08,39,203",50.20%,"7,02,30,657",49.80%,2001
34,America's Sweethearts,"13,83,07,673","9,36,07,673",67.70%,"4,47,00,000",32.30%,2001
35,Save the Last Dance,"13,17,06,809","9,10,57,006",69.10%,"4,06,49,803",30.90%,2001
36,A Knight's Tale,"11,74,87,473","5,65,69,702",48.10%,"6,09,17,771",51.90%,2001
37,The Score,"11,35,79,918","7,11,07,711",62.60%,"4,24,72,207",37.40%,2001
38,Along Came a Spider,"10,51,78,561","7,40,78,174",70.40%,"3,11,00,387",29.60%,2001
39,Training Day,"10,48,76,233","7,66,31,907",73.10%,"2,82,44,326",26.90%,2001
